gene	measurement	pd_up1	pd_up2	pd_up3	pd_up4	outlier_threshold1	outlier_threshold2	outlier_threshold3	outlier_threshold4	accuracy_threshold1	accuracy_threshold2	accuracy_threshold3	accuracy_threshold4	percent_accurate_mean1	percent_accurate_mean2	percent_accurate_mean3	percent_accurate_mean4	percent_accurate_min1	percent_accurate_min2	percent_accurate_min3	percent_accurate_min4	percent_accurate_max1	percent_accurate_max2	percent_accurate_max3	percent_accurate_max4	percent_accurate1_S1	percent_accurate1_S2	percent_accurate1_S3	percent_accurate1_S4	percent_accurate1_S5	percent_accurate2_S1	percent_accurate2_S2	percent_accurate2_S3	percent_accurate2_S4	percent_accurate2_S5	percent_accurate3_S1	percent_accurate3_S2	percent_accurate3_S3	percent_accurate3_S4	percent_accurate3_S5	percent_accurate4_S1	percent_accurate4_S2	percent_accurate4_S3	percent_accurate4_S4	percent_accurate4_S5
AAMP	7.73761916729	TRUE	TRUE	FALSE	FALSE	7.57869845628738	7.71131885051727	NA	7.92496514320374	2.053870933250911	0.3399019285403931	NA	NA	99.91368705684026	90.65327616744308	NA	NA	99.80430528375733	86.99551569506725	NA	NA	100	96.34433962264151	NA	NA	99.88789237668162	100	99.87623762376238	99.80430528375733	100	86.99551569506725	96.34433962264151	94.80198019801979	87.866927592955	87.25761772853186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCF1	7.3889644159	TRUE	TRUE	FALSE	TRUE	6.76590180397034	6.63542461395264	NA	6.71941351890564	8.4323401340101	10.198178791142228	NA	9.061498463216068	100	100	NA	100	100	100	NA	100	100	100	NA	100	100	100	100	100	100	100	100	100	100	100	NA	NA	NA	NA	NA	100	100	100	100	100
ABCF2	6.42122329923	TRUE	FALSE	FALSE	TRUE	6.1809201836586	6.42877733707428	NA	6.35233783721924	3.742326101635747	NA	NA	1.072777861798087	99.7199970382438	NA	NA	95.09693485274717	99.43105756358769	NA	NA	92.904953145917	99.86508364813815	NA	NA	98.1651376146789	99.43105756358769	99.80066445182725	99.86508364813815	99.74619289340102	99.75698663426489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.904953145917	98.00664451827242	98.1651376146789	93.0908065425832	93.31713244228432
AC132217.4	10.4058647572	FALSE	TRUE	FALSE	TRUE	22.1237854361534	7.06800585985184	NA	9.2644122838974	NA	32.07670842578111	NA	10.969318744151552	NA	100	NA	100	NA	100	NA	100	NA	100	NA	100	NA	NA	NA	NA	NA	100	100	100	100	100	NA	NA	NA	NA	NA	100	100	100	100	100
ACIN1	8.55378286605	FALSE	TRUE	FALSE	TRUE	9.06489157676697	7.89506947994232	NA	7.97195982933044	NA	7.700842965305045	NA	6.801938345066228	NA	100	NA	99.98043052837573	NA	100	NA	99.90215264187867	NA	100	NA	100	NA	NA	NA	NA	NA	100	100	100	100	100	NA	NA	NA	NA	NA	100	100	100	99.90215264187867	100
ACOT13	6.18626283567	TRUE	TRUE	FALSE	TRUE	5.61808627843857	5.51891356706619	NA	5.72479069232941	9.184487829313092	10.787599659617971	NA	7.459627170700552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACP1	8.55378286605	TRUE	TRUE	FALSE	TRUE	7.78185939788818	7.04498171806335	NA	7.38118648529053	9.024351918325952	17.6389928481244	NA	13.708512352043792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAT1	6.06458110919	TRUE	TRUE	FALSE	TRUE	5.8432708978653	5.75340032577515	NA	5.88030672073364	3.6492250221426854	5.1311175135130105	NA	3.0385344863657355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRA2	5.9724629072	FALSE	TRUE	FALSE	TRUE	9.04943957924843	4.21948349475861	NA	5.76781904697418	NA	29.351030549358708	NA	3.426456780152029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFG3L2	5.98276546258	FALSE	TRUE	FALSE	TRUE	6.26613712310791	5.87802541255951	NA	5.94074320793152	NA	1.750696240318965	NA	0.7023884675291583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGBL5	6.23610988989	TRUE	TRUE	FALSE	TRUE	6.03877910971642	5.32619214057922	NA	5.73353791236877	3.1643249342589876	14.59111153230223	NA	8.059062242248185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH1A2	8.43475331138	TRUE	TRUE	FALSE	TRUE	5.7542672380805	3.19205105304718	NA	4.23186355829239	31.779068982172156	62.15596431563056	NA	49.82824746536636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG13	6.037382222	FALSE	TRUE	FALSE	TRUE	6.22720158100128	5.85883224010468	NA	5.85191655158997	NA	2.957407288951997	NA	3.071955088982098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANP32E	7.16510798514	FALSE	TRUE	FALSE	TRUE	7.22013020515442	6.35570335388184	NA	6.77744245529175	NA	11.296474985957163	NA	5.4104631870481885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP1G2	6.92599941856	FALSE	TRUE	FALSE	TRUE	7.42584878206253	6.37555944919586	NA	6.76448714733124	NA	7.947444637218625	NA	2.33197061489706	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APEX1	9.17572418538	TRUE	TRUE	FALSE	TRUE	8.82619100809097	8.67678701877594	NA	8.92108726501465	3.8093252393740653	5.437578075843147	NA	2.7751152412696936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARF1	9.14065086038	FALSE	TRUE	FALSE	TRUE	9.47817540168762	8.97709095478058	NA	9.14064478874207	NA	1.7893682637892507	NA	6.642456889745238e-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP4	7.15694262091	FALSE	TRUE	FALSE	TRUE	8.298603951931	6.37262630462646	NA	6.40349900722504	NA	10.958818001307577	NA	10.527450806768657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARL16	6.67341508722	FALSE	TRUE	FALSE	TRUE	6.68806660175323	6.51483356952667	NA	6.54834246635437	NA	2.376317307116473	NA	1.8741921374732418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASH2L	5.91097245166	FALSE	TRUE	FALSE	TRUE	6.91095560789108	5.77883732318878	NA	5.89239287376404	NA	2.2354211519648044	NA	0.3143235406340381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATAD3A	6.45975946662	FALSE	TRUE	FALSE	TRUE	6.48887920379639	5.98176997900009	NA	6.05776810646057	NA	7.399493589348966	NA	6.223008182219003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATAD3B	5.76606505147	FALSE	TRUE	FALSE	TRUE	6.6605170071125	5.4379797577858	NA	5.50942468643188	NA	5.6899339628601355	NA	4.45087529792422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATG4B	7.04581425619	FALSE	TRUE	FALSE	TRUE	7.57583349943161	6.92261695861816	NA	6.96484017372131	NA	1.7485175324286621	NA	1.1492508817919993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATPAF2	5.96092866731	TRUE	TRUE	FALSE	TRUE	5.77264702320099	5.41078317165375	NA	5.40398097038269	3.1585958265455427	9.229191059998293	NA	9.343304173083563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAZ1A	6.05745027218	TRUE	TRUE	FALSE	TRUE	5.89533621072769	5.00908023118973	NA	5.44077789783478	2.6762755642724736	17.307117580562075	NA	10.180395160277353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCLAF1	7.94673086014	TRUE	TRUE	FALSE	TRUE	7.88585311174393	7.45433759689331	NA	7.69824695587158	0.7660728602427789	6.196173897325314	NA	3.126869509508491	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLMH	6.53543091487	FALSE	TRUE	FALSE	TRUE	6.55533003807068	6.08741736412048	NA	6.3322594165802	NA	6.855149363298439	NA	3.1087697343342087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BOD1	7.61456262282	TRUE	TRUE	FALSE	TRUE	7.41556692123413	7.03047931194305	NA	7.40851640701294	2.6133569509232513	7.670608803275418	NA	2.7059494551868584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BPHL	6.57258654939	TRUE	TRUE	FALSE	TRUE	5.84093201160431	5.73121154308319	NA	5.81497311592102	11.131911801961666	12.801276939972714	NA	11.526868878421915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRD9	6.42760617278	TRUE	TRUE	FALSE	TRUE	6.10698717832565	5.91020095348358	NA	5.93574452400208	4.988155556451569	8.049734308358186	NA	7.6523302074866475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRE	6.03121873061	FALSE	TRUE	FALSE	TRUE	6.87412875890732	5.8605545759201	NA	5.85909557342529	NA	2.829679411620996	NA	2.8538702519797536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRMS1	6.73240488678	FALSE	TRUE	FALSE	TRUE	6.75262248516083	6.2025603055954	NA	6.30054879188538	NA	7.870064116687681	NA	6.41458887510804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C14orf119	6.64212391615	FALSE	TRUE	FALSE	TRUE	7.3858739733696	6.49937212467194	NA	6.55412173271179	NA	2.1491889233045844	NA	1.32491029298982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C14orf166	8.80099693892	TRUE	TRUE	FALSE	TRUE	8.7029305100441	8.16378271579742	NA	8.55773138999939	1.1142650038000528	7.240250480086783	NA	2.7640681005674956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C1orf35	6.26247074299	TRUE	TRUE	FALSE	TRUE	5.85336893796921	5.5240426659584	NA	5.6198251247406	6.532594271657463	11.791321785545607	NA	10.261854220536776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CABYR	5.91241035381	TRUE	TRUE	FALSE	TRUE	5.6827834546566	4.39454400539398	NA	5.13178324699402	3.883811938145109	25.67254736366355	NA	13.203195652902174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAD	7.07221301224	TRUE	TRUE	FALSE	TRUE	6.88797330856323	6.0718697309494	NA	6.39710068702698	2.605120962249061	14.14469953830984	NA	9.545984037027605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBWD1	6.90845266927	TRUE	TRUE	FALSE	TRUE	6.55663514137268	5.69846379756927	NA	5.74383306503296	5.092566233568709	17.514614771596708	NA	16.857893655658536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBWD2	6.27705487615	FALSE	TRUE	FALSE	TRUE	6.53517079353333	5.53570020198822	NA	5.55992197990417	NA	11.8105495138906	NA	11.42467144855805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBWD3	6.20261362015	FALSE	TRUE	FALSE	TRUE	6.63478606939316	5.69971019029617	NA	5.75150418281555	NA	8.107927732594568	NA	7.272892766832392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBWD5	6.73674015545	FALSE	TRUE	FALSE	TRUE	6.85400587320328	6.30580997467041	NA	6.30118012428284	NA	6.396716673582378	NA	6.465442055306133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBWD7	6.02680005934	TRUE	TRUE	FALSE	TRUE	5.97641775012016	5.25730621814728	NA	5.16668021678925	0.8359711409665926	12.767867419132342	NA	14.271584158790604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC58	6.72164607842	TRUE	TRUE	FALSE	TRUE	6.42100894451141	5.66317439079285	NA	5.80803775787354	4.4726712832113025	15.74720946741599	NA	13.592032515362881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCDC86	6.25001411501	TRUE	TRUE	FALSE	TRUE	6.02317100763321	5.507368683815	NA	5.57753539085388	3.629481521201763	11.882300064114526	NA	10.75963528692037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNC	6.34872815423	FALSE	TRUE	FALSE	TRUE	6.52628034353256	5.80506205558777	NA	5.90482258796692	NA	8.563386011102054	NA	6.992039279037593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNE1	5.76765479824	FALSE	TRUE	FALSE	TRUE	8.37428945302963	3.78033331036568	NA	4.74590170383453	NA	34.4563181638532	NA	17.715226208011924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCT6A	8.94564866697	TRUE	TRUE	FALSE	TRUE	8.55431264638901	8.51535952091217	NA	8.7554292678833	4.3745963557223	4.810038512316997	NA	2.1263902280115854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD163L1	5.90953311495	FALSE	TRUE	FALSE	TRUE	6.62641534209251	2.91922128200531	NA	3.09215739369392	NA	50.60149041858768	NA	47.67509829378319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDC37	8.36439733732	FALSE	TRUE	FALSE	TRUE	8.53857851028442	8.02663207054138	NA	8.05877137184143	NA	4.038130341699449	NA	3.6538910474151796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK11A	6.8135246893	FALSE	TRUE	FALSE	TRUE	7.12018513679504	6.56885588169098	NA	6.65295171737671	NA	3.590928612811072	NA	2.356679974689975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDK11B	6.49281457257	TRUE	TRUE	FALSE	TRUE	6.15672290325165	6.34079587459564	NA	6.27327156066895	5.176363279158273	2.341337431944983	NA	3.38132268290161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFH	9.33929330018	FALSE	TRUE	FALSE	TRUE	9.94503822922707	6.19667649269104	NA	6.64281594753265	NA	33.649406935623176	NA	28.872391796447587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHD1L	6.33664044641	TRUE	TRUE	FALSE	TRUE	6.3343340754509	5.71447372436523	NA	5.91956067085266	0.036397377736754305	9.818558072002586	NA	6.582033162282933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHD8	6.53106949273	TRUE	TRUE	FALSE	TRUE	6.28740829229355	6.28004586696625	NA	6.42383360862732	3.7308009156491018	3.843530160614196	NA	1.6419345135134267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHMP4A	7.94871764126	TRUE	TRUE	FALSE	TRUE	7.81795930862427	7.13477373123169	NA	7.3471462726593	1.6450242484019404	10.239939909342237	NA	7.5681562202949415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHTF8	6.70708299177	FALSE	TRUE	FALSE	TRUE	7.08071345090866	6.58203303813934	NA	6.6740026473999	NA	1.8644461949271287	NA	0.49321507443238793	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLPTM1L	7.5892391566	FALSE	TRUE	FALSE	TRUE	8.09735941886902	7.46930932998657	NA	7.43496990203857	NA	1.58026152739083	NA	2.032736765546113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNOT11	6.66959375119	TRUE	TRUE	FALSE	TRUE	5.81944644451141	5.39784920215607	NA	5.78398275375366	12.74661303811653	19.06779627780213	NA	13.27833494024021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNOT3	7.30441977532	TRUE	TRUE	FALSE	TRUE	6.60331159830093	6.17864215373993	NA	6.74578976631165	9.598410258237864	15.412279910087054	NA	7.647835504961479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CNOT7	7.10129288755	FALSE	TRUE	FALSE	TRUE	7.48109465837479	6.48837089538574	NA	6.93557715415955	NA	8.631132413068544	NA	2.3335994728647576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
COA1	6.95942242009	TRUE	TRUE	FALSE	TRUE	6.92538022994995	6.64994859695435	NA	6.82783937454224	0.4891525199243416	4.4468319991940914	NA	1.8907179016453293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
